STT,Ho va ten,Ma sinh vien,Chuyen can,Kiem tra giua ky,Diem BTL,Kiem tra cuoi ky,TBM
37,Ly Bao Mai,B23DCQT977,7.5,6.0,7.1,2.0,5.7
38,Huynh Xuan Vy,B23DCVT240,6.3,3.9,3.6,9.6,5.8
39,Hoang Thi Ngan,B21DCQT747,6.8,3.1,4.9,4.2,4.8
40,Tran Bao Bao,B24DCKH365,8.8,7.4,6.0,8.2,7.6
41,Doan Manh Ha,B24DCQT999,8.7,8.0,9.0,2.9,7.1
42,Le Duc Nhi,B21DCAT240,9.9,7.5,0.2,8.7,6.6
43,Ngo Cong Huong,B22DCKT192,9.9,5.7,0.2,0.1,4.0
44,Duong Xuan Phong,B24DCKT882,9.2,8.6,7.5,6.8,8.0
45,Do Thi Phuc,B21DCAT171,9.4,0.0,0.8,1.2,2.9
46,Ly Thi Nga,B23DCCN409,8.8,8.1,0.9,5.2,5.7
47,Ta Duc Bao,B24DCKT756,9.0,2.6,0.6,1.3,3.4
48,Phan Ngoc Hai,B24DCBC687,9.2,0.0,5.1,1.2,3.9
49,Vu Thanh Chi,B21DCKH990,6.8,8.0,8.7,9.7,8.3
50,Duong Van Minh,B23DCMR361,8.1,6.5,2.1,3.6,5.1
51,Duong Dinh Hieu,B24DCCN459,7.0,9.5,2.5,0.6,4.9
52,Mai Thu Trung,B24DCFT803,8.6,4.1,7.5,1.1,5.3
53,Dang Quang Son,B22DCQT260,9.3,0.3,9.0,1.8,5.1
54,Nguyen Bao Chau,B24DCVT123,9.8,3.9,4.8,9.9,7.1
55,Le Gia Lan,B22DCKT651,9.7,2.6,6.4,5.7,6.1
56,Duong Minh Ly,B22DCKH774,6.4,4.9,4.0,8.7,6.0
57,Doan Thanh Binh,B23DCBC870,6.6,2.3,6.7,2.1,4.4
58,Ly Ngoc Nga,B24DCKT003,6.7,9.5,9.6,3.0,7.2
59,Bui Manh Phong,B23DCFT432,9.8,3.7,5.1,2.1,5.2
60,Bui Thanh Tam,B22DCPT299,8.4,7.9,4.4,0.3,5.3
61,Hoang Xuan An,B21DCKT992,8.8,1.5,1.2,4.7,4.0
62,Dang Minh Hoa,B24DCBC621,10.0,5.5,9.5,6.1,7.8
63,Nguyen Van Minh,B22DCCN510,8.6,0.6,4.6,3.9,4.4
64,Huynh Ngoc Thao,B23DCMR481,7.9,9.0,0.9,2.2,5.0
65,Vu Duc Bao,B21DCKT664,9.0,2.1,1.4,7.9,5.1
66,Vu Dinh Khanh,B22DCAT795,6.2,3.9,8.2,2.1,5.1
67,Ly Duc Ngan,B24DCCN799,6.7,0.1,1.0,9.6,4.3
68,Ho Thu Dung,B21DCPT269,9.6,3.8,4.4,0.3,4.5
69,Ho Huu Ha,B23DCPT995,9.5,7.5,4.4,3.5,6.2
70,Phan Cong Yen,B21DCPT036,7.2,2.8,7.9,7.2,6.3
71,Doan Huu Trang,B21DCKH802,7.1,0.4,8.3,0.7,4.1
72,Pham Minh Trang,B23DCKH914,7.8,5.1,4.5,7.9,6.3
73,Phan Duc Nam,B24DCCN462,7.5,9.1,9.7,5.5,8.0
74,Ly Thanh Chau,B21DCPT312,9.8,8.5,6.0,1.4,6.4
75,Do Xuan Vy,B22DCCN131,8.6,2.5,0.2,5.9,4.3
76,Le Thanh Chau,B21DCMR140,9.0,8.2,3.4,7.1,6.9
77,Doan Quoc Phong,B23DCQT893,8.0,3.1,6.6,1.9,4.9
78,Dang Minh Tu,B23DCMR659,8.9,5.7,3.9,4.1,5.7
79,Do Xuan Nga,B21DCKT867,9.4,6.8,0.3,0.6,4.3
80,Ho Thanh Hieu,B21DCAT027,7.9,7.8,0.3,3.4,4.8
81,Vu Quoc Chi,B24DCAT618,8.9,7.1,4.1,4.7,6.2
82,Dinh Minh An,B21DCFT137,6.5,4.7,1.1,3.4,3.9
83,Ly Van Nhi,B21DCKH779,8.2,0.6,5.2,9.7,5.9
84,Duong Cong Nhi,B23DCKT384,9.5,3.3,8.4,7.1,7.1
85,Vo Gia Ngan,B24DCFT888,9.1,7.4,0.5,0.7,4.4
86,Dang Manh Bao,B23DCPT048,7.8,4.7,6.1,3.1,5.4
87,Ngo Dinh Duy,B24DCBC665,7.4,3.2,7.8,5.8,6.1
88,Nguyen Quoc Nga,B22DCCN336,9.4,5.5,5.1,4.2,6.0
89,Vu Quang Tuan,B23DCAT837,9.4,5.5,8.8,4.5,7.1
90,Ho Manh Hoa,B21DCCN075,8.5,1.2,5.8,10.0,6.4
91,Hoang Xuan Nam,B21DCBC940,6.0,8.7,9.8,7.6,8.0
92,Vo Minh Ngoc,B24DCCN859,6.1,1.3,4.6,9.0,5.2
93,Vo Thi Trung,B21DCCN122,8.5,3.1,4.5,0.4,4.1
94,Doan Xuan Ly,B21DCBC643,6.3,7.4,6.3,4.0,6.0
95,Doan Thi Phuong,B24DCFT044,9.8,9.5,9.8,0.8,7.5
96,Ngo Manh Hieu,B22DCAT595,7.1,4.7,4.6,5.3,5.4
97,Dang Bao Hoa,B21DCPT565,6.3,6.1,0.2,2.5,3.8
98,Vu Huu Tu,B21DCPT710,7.3,9.7,6.7,3.5,6.8
99,Vo Quoc Hai,B21DCVT907,9.3,4.9,1.1,4.7,5.0
100,Bui Manh Tam,B23DCVT698,9.5,2.9,3.9,3.8,5.0
101,Do Cong Hai,B23DCMR786,9.5,1.3,8.3,8.4,6.9
102,Doan Quang Son,B21DCQT648,9.4,4.1,8.8,1.6,6.0
103,Ngo Ngoc Tu,B21DCMR611,6.2,8.8,9.7,5.6,7.6
104,Le Dinh Chi,B21DCKH091,8.3,7.2,7.5,6.9,7.5
105,Ly Huu Ngoc,B23DCKH049,8.6,0.2,7.7,0.9,4.3
106,Dinh Thanh Hung,B22DCKH279,7.4,9.9,3.3,6.2,6.7
107,Huynh Ngoc Phong,B24DCKH827,8.7,5.9,5.9,2.7,5.8
108,Ngo Quang An,B21DCBC702,7.0,3.0,9.3,9.6,7.2
109,Duong Gia Ha,B24DCQT688,7.8,4.1,0.4,9.1,5.3
110,Ho Van Duy,B22DCCN409,8.1,5.9,6.5,3.2,5.9
111,Mai Van Phuc,B22DCVT677,7.7,6.3,6.2,7.3,6.9
112,Vu Cong Ly,B22DCAT409,9.5,0.8,0.7,5.6,4.2
113,Bui Minh Lan,B23DCCN999,7.6,3.1,5.0,3.4,4.8
114,Tran Bao Anh,B24DCKT525,7.4,3.5,6.7,4.1,5.4
115,Ly Thu Thang,B24DCFT524,9.7,9.9,0.0,5.3,6.2
116,Ta Quang Huy,B23DCPT032,7.1,0.6,0.9,3.4,3.0
117,Bui Huu Chi,B24DCFT170,6.3,9.9,7.1,7.9,7.8
118,Tran Duc Trung,B24DCVT886,9.3,3.9,1.4,7.7,5.6
119,Huynh Thanh Long,B22DCAT270,8.1,0.6,0.6,6.7,4.0
120,Ngo Manh Phuong,B22DCFT812,8.6,4.6,6.8,7.3,6.8
121,Vo Quang Phuong,B22DCQT282,7.3,9.4,3.0,3.1,5.7
122,Ta Van Long,B24DCFT780,6.1,9.3,3.6,3.7,5.7
123,Ta Bao Quang,B21DCCN748,8.1,8.7,1.0,1.5,4.8
124,Ly Thanh Tam,B21DCCN616,7.5,5.7,6.5,0.3,5.0
125,Duong Ngoc Hung,B24DCBC152,7.4,9.1,8.4,9.1,8.5
126,Duong Minh Vy,B23DCVT754,6.8,3.1,1.7,0.0,2.9
127,Tran Ngoc Tuan,B22DCBC719,9.2,3.1,3.0,2.9,4.5
128,Vu Bao Tuan,B23DCMR970,7.4,9.0,9.3,3.4,7.3
129,Hoang Thanh Chi,B24DCBC901,10.0,0.2,0.3,5.3,4.0
130,Le Xuan Phuong,B22DCMR923,7.9,2.9,5.3,2.5,4.7
131,Vo Van Quang,B22DCCN718,9.1,4.9,6.4,5.2,6.4
132,Dinh Minh Vy,B23DCKT143,7.3,4.5,4.3,8.8,6.2
133,Le Xuan Ngoc,B24DCBC868,9.4,5.3,5.6,8.0,7.1
134,Dinh Minh Khanh,B21DCPT764,7.7,3.8,1.7,9.3,5.6
135,Dang Bao Thang,B21DCQT365,8.9,2.4,0.3,0.9,3.1
136,Ly Manh Tam,B21DCBC394,8.5,6.6,9.5,0.4,6.2
137,Le Huu Hieu,B22DCPT516,6.6,2.2,0.4,1.1,2.6
138,Hoang Van Nga,B24DCVT201,8.5,4.1,3.7,4.7,5.2
139,Phan Quang Hung,B22DCKT896,6.7,0.9,3.0,7.1,4.4
140,Ngo Huu Nhi,B22DCAT276,7.2,3.3,5.3,6.7,5.6
141,Huynh Manh Tam,B23DCQT773,9.2,5.8,5.7,5.7,6.6
142,Huynh Thanh Viet,B21DCCN641,8.4,1.2,1.4,0.2,2.8
143,Pham Cong Tuan,B22DCMR127,6.1,9.9,4.1,0.0,5.0
144,Pham Quang Anh,B22DCCN868,8.0,2.8,9.1,1.4,5.3
145,Vu Van Mai,B22DCPT951,7.9,0.6,1.6,5.3,3.8
146,Tran Quang Hieu,B23DCFT175,6.0,7.1,4.2,6.5,6.0
147,Bui Van Huy,B24DCCN553,8.1,7.6,2.3,3.6,5.4
148,Ngo Dinh Minh,B21DCQT240,7.9,8.2,6.3,7.8,7.6
149,Duong Thanh Ha,B21DCCN819,9.7,0.3,3.0,4.2,4.3
150,Do Bao Minh,B22DCMR820,9.3,4.6,8.8,5.5,7.1
151,Do Manh Phong,B22DCCN023,9.6,6.4,8.3,2.1,6.6
152,Doan Quang Hung,B21DCBC228,9.2,8.1,4.3,1.6,5.8
153,Ngo Quoc Hai,B24DCKT280,8.9,5.3,1.6,3.7,4.9
154,Tran Quoc Quan,B22DCCN957,6.6,8.4,8.7,6.9,7.7
155,Do Huu Ha,B21DCAT472,6.3,3.8,7.6,3.3,5.2
156,Bui Minh Trang,B21DCMR217,8.3,5.5,6.2,4.6,6.2
157,Do Xuan Ngan,B23DCKT534,6.2,4.7,4.4,4.7,5.0
158,Pham Thanh Mai,B21DCMR557,8.2,9.3,7.6,3.1,7.1
159,Ta Thanh Nam,B21DCAT243,8.2,4.8,4.4,2.0,4.8
160,Dinh Gia Long,B24DCBC519,7.1,2.0,7.2,2.2,4.6
161,Ta Thi Nhi,B24DCQT951,7.6,9.3,9.7,4.9,7.9
162,Huynh Dinh Thao,B23DCBC555,6.6,0.1,2.9,2.9,3.1
163,Dang Manh Linh,B21DCQT101,6.0,5.9,9.5,6.4,6.9
164,Bui Gia Vy,B24DCFT792,8.1,0.9,1.4,2.1,3.1
165,Pham Duc Ly,B24DCPT757,10.0,6.0,8.0,5.5,7.4
166,Le Ngoc An,B22DCKT200,6.7,8.5,5.1,7.2,6.9
167,Ho Thu Anh,B22DCAT755,8.8,0.9,3.3,9.9,5.7
168,Ngo Bao Dung,B24DCVT101,8.5,9.5,6.8,8.3,8.3
169,Dang Van Yen,B23DCFT352,7.4,2.2,0.2,1.3,2.8
170,Mai Xuan Anh,B22DCMR889,9.3,7.4,8.8,9.5,8.8
171,Pham Bao Anh,B24DCVT339,9.5,5.8,7.7,6.6,7.4
172,Ly Minh Long,B21DCMR990,6.1,7.7,7.3,6.3,6.9
173,Duong Manh Long,B24DCKH506,8.0,2.5,2.8,1.5,3.7
174,Hoang Quoc Giang,B23DCAT651,9.4,5.3,2.1,1.7,4.6
175,Dang Manh Phuc,B23DCMR610,6.3,9.1,3.5,9.1,7.0
176,Nguyen Thu Ly,B24DCBC517,6.3,9.0,3.6,6.4,6.3
177,Dang Xuan Hai,B23DCQT839,6.1,8.0,4.2,9.4,6.9
178,Huynh Duc Tuan,B24DCVT706,6.9,0.5,9.6,3.9,5.2
179,Ta Duc Ngoc,B22DCAT312,7.2,0.0,1.2,9.3,4.4
180,Pham Thanh Anh,B22DCPT517,6.4,7.6,2.2,7.5,5.9
181,Doan Van Minh,B23DCVT702,6.2,6.2,4.4,4.2,5.2
182,Vo Thi Dung,B21DCKT258,8.5,0.8,2.1,0.1,2.9
183,Ta Cong Hoa,B23DCPT934,6.9,9.0,4.2,0.8,5.2
184,Phan Xuan Linh,B23DCKT597,7.7,5.0,3.8,4.5,5.2
185,Ngo Dinh Son,B21DCBC878,8.8,1.4,0.1,1.0,2.8
186,Dinh Bao Binh,B23DCPT407,7.0,1.9,8.6,6.0,5.9
187,Huynh Ngoc Phong,B21DCVT102,9.4,5.9,1.0,3.1,4.9
188,Ta Dinh Lan,B21DCKT103,8.4,5.9,9.9,6.1,7.6
189,Ta Manh Binh,B24DCAT090,9.4,2.0,0.5,8.3,5.1
190,Nguyen Thi Giang,B22DCQT988,9.8,0.1,5.5,0.3,3.9
191,Vo Thanh Bao,B23DCPT790,7.7,3.7,3.3,7.0,5.4
192,Ly Quoc Hieu,B22DCPT261,6.8,8.7,9.3,4.4,7.3
193,Pham Van Thang,B21DCBC822,9.2,2.5,1.0,8.9,5.4
194,Dang Bao Huy,B22DCBC116,8.8,8.0,9.2,8.8,8.7
195,Nguyen Gia Linh,B22DCKH652,8.0,8.3,2.2,1.1,4.9
196,Doan Van Linh,B24DCVT387,8.2,1.6,0.2,2.4,3.1
197,Hoang Quoc Vy,B23DCAT830,7.8,9.4,9.8,7.8,8.7
198,Huynh Huu Ha,B22DCBC062,9.9,9.6,1.6,3.8,6.2
199,Dang Minh Anh,B22DCMR651,6.6,2.2,2.2,7.7,4.7
200,Dang Ngoc Tuan,B21DCPT014,7.3,5.6,8.1,2.8,6.0
201,Le Thi Ngoc,B22DCAT243,9.1,7.0,9.1,1.3,6.6
202,Huynh Dinh Linh,B22DCCN720,7.4,8.8,4.0,0.5,5.2
203,Vo Thu Yen,B24DCCN235,7.9,2.5,2.0,0.6,3.2
204,Do Quoc Nga,B22DCFT016,8.0,8.6,2.0,9.1,6.9
205,Ta Thi Hung,B22DCKT863,9.4,7.4,9.5,3.2,7.4
206,Pham Cong Mai,B23DCAT626,6.1,3.3,9.2,4.3,5.7
207,Duong Duc Anh,B22DCCN176,6.5,5.4,2.4,4.8,4.8
208,Pham Huu Chau,B23DCQT639,6.6,3.4,9.5,5.2,6.2
209,Do Manh Hieu,B21DCQT873,8.3,4.3,7.7,8.0,7.1
210,Mai Duc Son,B23DCKH248,9.5,8.5,1.5,1.5,5.2
211,Dang Xuan Phong,B21DCVT634,7.1,7.5,1.7,9.5,6.5
212,Ngo Thu Tam,B23DCVT038,8.6,8.9,3.0,7.0,6.9
213,Nguyen Ngoc Tam,B24DCAT851,8.6,7.9,7.1,9.2,8.2
214,Huynh Van Phuong,B24DCKT015,9.1,3.1,7.8,9.8,7.5
215,Vu Thu Tam,B23DCKT117,8.0,0.5,4.0,6.0,4.6
216,Bui Huu Binh,B21DCPT291,9.2,1.3,6.5,3.4,5.1
217,Huynh Thi Ngan,B24DCMR782,6.9,8.2,7.8,8.4,7.8
218,Do Dinh Mai,B21DCKH636,7.9,6.9,5.6,0.2,5.1
219,Do Manh Giang,B21DCBC967,7.9,8.3,8.8,0.9,6.5
220,Vo Quang Chi,B21DCVT093,6.9,8.0,8.6,9.9,8.3
221,Doan Huu Hoa,B21DCQT345,6.0,4.9,4.2,0.3,3.9
222,Ta Thanh Ngan,B24DCMR093,8.0,1.5,5.7,0.2,3.8
223,Nguyen Thi Chi,B23DCVT942,7.1,8.7,2.7,6.4,6.2
224,Mai Ngoc Thao,B22DCFT570,8.9,3.8,4.3,6.4,5.8
225,Phan Minh Nga,B22DCQT575,9.7,7.7,0.5,5.5,5.8
226,Ngo Cong Huong,B24DCCN076,7.4,9.1,7.2,6.1,7.4
227,Do Thanh Linh,B21DCPT149,7.7,8.9,9.9,4.3,7.7
228,Bui Van Ha,B22DCQT449,7.7,9.8,0.8,3.4,5.4
229,Nguyen Huu Lan,B21DCAT005,9.5,2.8,8.6,5.7,6.6
230,Vu Quang Hieu,B24DCPT095,6.7,7.4,6.4,3.4,6.0
231,Hoang Gia Trang,B24DCKH031,6.1,1.1,1.7,5.6,3.6
232,Ho Thu Nga,B22DCQT075,6.6,1.5,4.1,9.7,5.5
233,Dang Xuan Chau,B24DCVT001,8.1,9.6,0.8,8.3,6.7
234,Le Ngoc Quang,B23DCCN855,9.9,3.5,9.8,8.5,7.9
235,Tran Xuan Chi,B24DCKH941,7.4,8.3,1.1,5.5,5.6
236,Vo Bao Ly,B21DCKH577,6.5,1.7,4.8,8.6,5.4
237,Bui Quoc Ngan,B24DCBC174,9.2,7.6,2.9,4.1,5.9
238,Ngo Thi Nga,B24DCQT213,8.1,5.0,2.4,2.6,4.5
239,Pham Thu Long,B23DCQT258,7.1,3.8,0.4,6.5,4.4
240,Doan Manh Bao,B23DCBC279,9.1,4.7,8.9,2.0,6.2
241,Ly Minh Anh,B22DCQT044,9.0,0.5,8.4,8.9,6.7
242,Ta Thu Viet,B22DCVT871,7.6,1.9,4.3,8.4,5.6
243,Ta Ngoc Anh,B22DCAT528,9.1,9.3,9.5,4.9,8.2
244,Dang Thanh Vy,B23DCMR422,6.7,6.1,0.7,6.1,4.9
245,Ly Thi Ly,B24DCMR939,7.4,6.1,2.8,4.1,5.1
246,Doan Quoc Anh,B22DCVT522,9.4,9.0,4.3,5.1,6.9
247,Hoang Thi Ngan,B23DCBC649,8.3,0.9,5.2,2.2,4.2
248,Le Thi Bao,B22DCPT786,9.9,8.2,1.5,7.4,6.8
249,Duong Minh Minh,B24DCKT082,9.4,9.3,7.5,1.0,6.8
250,Mai Manh Mai,B21DCFT298,9.8,0.0,1.5,4.7,4.0
251,Le Thu Mai,B22DCKT724,8.6,9.7,5.9,9.3,8.4
252,Ly Quoc Son,B21DCPT296,9.9,1.5,5.7,8.7,6.5
253,Vu Quang Trung,B21DCAT244,8.5,0.9,9.8,3.0,5.6
254,Pham Van Tam,B21DCVT735,7.0,0.3,1.5,6.1,3.7
255,Ngo Thu Long,B24DCBC972,7.4,0.8,3.7,9.9,5.5
256,Dang Duc Hoa,B21DCCN041,8.1,1.9,0.1,2.5,3.1
257,Nguyen Cong Ly,B23DCBC920,8.7,1.7,9.5,4.4,6.1
258,Vu Van Khanh,B24DCKT450,9.4,5.7,0.4,2.3,4.5
259,Do Quang Binh,B21DCPT425,7.1,5.3,6.6,0.5,4.9
260,Pham Gia Chau,B23DCAT962,9.1,4.8,4.5,8.9,6.8
261,Tran Manh Tam,B22DCKH018,8.6,3.9,2.5,9.3,6.1
262,Nguyen Huu Phong,B22DCFT209,8.8,1.3,4.0,5.5,4.9
263,Doan Bao Huong,B23DCKH629,7.8,2.4,7.2,5.9,5.8
264,Mai Minh Chi,B23DCCN174,8.5,0.8,0.9,7.0,4.3
265,Nguyen Duc Dung,B21DCKT649,6.8,7.5,1.3,6.6,5.6
266,Vo Minh Phuong,B24DCPT980,8.4,4.3,5.6,0.8,4.8
267,Hoang Duc Ly,B24DCPT914,6.2,3.0,3.4,5.9,4.6
268,Le Thu Yen,B23DCKH567,7.0,6.4,9.7,6.8,7.5
269,Vo Dinh Giang,B21DCVT710,8.8,9.7,0.1,9.3,7.0
270,Pham Manh Hoa,B24DCVT820,9.6,4.0,7.3,2.9,5.9
271,Dang Quang Son,B21DCVT628,7.3,1.1,6.2,3.4,4.5
272,Pham Manh Hai,B24DCMR012,7.9,3.1,4.1,5.5,5.2
273,Hoang Van Huy,B22DCQT402,8.2,8.6,4.0,6.1,6.7
274,Do Manh Long,B21DCVT005,8.6,1.7,9.3,9.8,7.4
275,Duong Xuan Tam,B23DCAT208,8.4,2.3,3.4,4.5,4.7
276,Pham Gia Phuong,B23DCPT634,8.6,9.7,0.4,7.3,6.5
277,Nguyen Huu Tuan,B24DCKT797,9.0,5.5,3.6,8.5,6.7
278,Ta Xuan Yen,B24DCMR838,9.3,9.3,4.4,3.4,6.6
279,Doan Manh Tam,B22DCKT242,9.2,9.4,0.1,2.5,5.3
280,Mai Ngoc Huy,B24DCKT931,8.9,6.5,0.1,3.3,4.7
281,Ho Xuan Hieu,B21DCAT286,6.6,2.4,3.5,8.7,5.3
282,Phan Cong Ha,B24DCAT421,8.9,9.1,6.1,3.8,7.0
283,Ly Manh Dung,B21DCBC080,6.8,6.7,6.5,3.1,5.8
284,Phan Duc Tam,B21DCFT972,6.8,7.9,5.1,8.2,7.0
285,Dinh Ngoc Trang,B22DCCN334,6.6,5.8,0.6,3.2,4.0
286,Mai Minh Trung,B24DCFT206,7.6,6.4,7.2,7.4,7.2
287,Pham Thi Nam,B22DCVT360,6.4,5.6,0.9,1.2,3.5
288,Do Quang Hoa,B21DCMR387,9.6,8.5,2.9,6.1,6.8
289,Hoang Thi Binh,B22DCBC079,6.2,4.7,5.6,4.3,5.2
290,Nguyen Huu Ly,B23DCPT283,8.3,0.9,6.5,1.7,4.4
291,Huynh Thu Trung,B21DCPT005,9.6,0.9,2.6,8.2,5.3
292,Do Thu Hoa,B23DCMR480,9.7,5.5,0.1,1.7,4.2
293,Huynh Thanh Huy,B22DCAT686,8.3,5.1,9.3,2.5,6.3
294,Ngo Bao Vy,B21DCKH537,6.7,0.5,1.9,2.5,2.9
295,Dinh Gia Son,B23DCVT834,9.5,1.6,9.2,9.7,7.5
296,Tran Quang Phuc,B23DCVT161,6.4,3.7,0.7,4.5,3.8
297,Le Thi An,B21DCQT414,7.3,1.1,7.2,5.0,5.2
298,Pham Dinh Phuc,B23DCAT290,8.4,9.1,7.8,2.8,7.0
299,Vo Dinh Mai,B23DCBC373,9.1,9.8,5.6,4.6,7.3
300,Ho Quoc Hoa,B23DCAT564,6.6,3.3,2.7,8.0,5.1
301,Phan Cong Dung,B23DCFT726,8.8,6.4,7.4,5.4,7.0
302,Vu Dinh Phuong,B23DCFT506,7.1,1.6,6.5,7.5,5.7
303,Duong Manh Binh,B22DCVT800,6.9,6.9,4.8,9.9,7.1
304,Doan Quoc Hung,B21DCAT745,7.6,6.7,1.5,3.6,4.9
305,Dinh Thu Chau,B24DCQT473,6.9,9.1,2.1,9.9,7.0
306,Doan Thi Binh,B21DCMR014,8.2,3.0,6.0,8.5,6.4
307,Doan Thu Dung,B24DCAT201,6.1,6.0,8.2,0.5,5.2
308,Vo Ngoc Hoa,B22DCAT280,6.3,6.9,9.1,2.0,6.1
309,Bui Xuan Chau,B24DCBC695,9.8,6.7,4.9,7.2,7.1
310,Dinh Xuan Thao,B22DCMR395,7.6,3.5,8.3,3.8,5.8
311,Ly Dinh Hung,B22DCFT718,6.1,9.4,4.9,0.0,5.1
312,Ngo Ngoc Binh,B22DCAT976,7.9,9.8,1.6,6.6,6.5
313,Tran Minh Ngan,B23DCVT187,6.4,8.1,4.2,9.7,7.1
314,Pham Gia Duy,B21DCBC017,7.6,8.0,8.5,0.6,6.2
315,Pham Huu Thang,B22DCBC376,7.6,4.4,6.3,4.1,5.6
316,Hoang Thanh Thang,B24DCVT925,6.5,0.4,2.1,9.5,4.6
317,Le Dinh Phuong,B23DCQT696,9.5,6.6,3.4,6.7,6.5
318,Dinh Huu Long,B23DCPT393,8.3,4.0,0.7,2.9,4.0
319,Ly Quang Quan,B23DCCN425,6.4,5.7,2.8,9.2,6.0
320,Dang Ngoc Ngan,B23DCMR114,8.1,7.8,3.9,0.1,5.0
321,Vu Thu Viet,B22DCCN068,6.4,9.9,0.7,2.6,4.9
322,Doan Thu Khanh,B24DCVT295,8.3,9.3,3.0,2.4,5.8
323,Nguyen Bao Tam,B23DCVT109,7.8,3.9,9.0,2.6,5.8
324,Dang Cong Thao,B21DCCN519,7.3,1.5,8.7,1.9,4.8
325,Duong Thi Khanh,B23DCAT599,6.7,6.3,9.6,9.9,8.1
326,Ngo Thu Quang,B23DCFT260,7.5,1.2,3.6,7.7,5.0
327,Huynh Huu Tam,B21DCKT810,6.1,8.3,8.2,1.8,6.1
328,Doan Dinh Thang,B21DCQT866,7.4,5.4,0.3,0.5,3.4
329,Huynh Ngoc Lan,B22DCFT871,8.4,9.2,0.8,4.2,5.7
330,Vo Cong Hieu,B23DCCN197,7.7,3.9,5.9,3.4,5.2
331,Hoang Manh Tam,B23DCKT002,6.7,4.3,6.3,3.4,5.2
332,Dang Thi Giang,B23DCMR700,9.1,3.2,4.6,4.8,5.4
333,Ly Manh Nhi,B24DCFT670,8.6,5.1,9.1,1.0,5.9
334,Duong Thanh Ngan,B21DCQT813,8.5,4.2,9.2,4.3,6.5
335,Tran Cong An,B21DCAT639,6.4,5.2,3.7,6.6,5.5
336,Dinh Quoc Hieu,B22DCFT305,7.1,7.1,7.7,3.8,6.4
337,Mai Minh Thao,B23DCKT950,6.2,5.6,3.4,5.6,5.2
338,Duong Thi Hoa,B24DCBC558,6.4,0.6,5.7,5.4,4.5
339,Pham Bao Dung,B22DCKT980,8.8,7.8,4.8,8.9,7.6
340,Duong Dinh Trung,B23DCFT978,9.1,2.8,3.3,2.7,4.5
341,Bui Manh Mai,B23DCMR299,9.0,8.4,9.5,7.5,8.6
